date,name,age,city,state,description,link
2012-01-01,Porter Kathy,,Atlanta,Georgia,An officer responding to a call drove through a red light at an intersection striking another vehicle. Several occupants of the other vehicle were injured and Porter was killed. Witnesses report the squad car had lights on but no siren. [32],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-01,Smith Michael,,Chicago,Illinois,Officers investigated an alley after hearing gunfire. They identified themselves to a man holding a gun and ordered him to drop his weapon. The suspect fled and the officers pursued. When the suspect turned towards the officers and pointed a handgun in their direction they shot him. He died at a local hospital. [33],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-01,unnamed male,,Kansas City,Kansas,An officer was conducting a pedestrian check on a suspicious individual and a struggle ensued during which the officer shot the man to death. [34],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-04,Eng Jazmyne,40,Rosemead,California,Jazmyne Eng a 40-year-old Asian woman was shot and killed by sheriff's deputies Wednesday Jan. 4 in the 9300 block of East Valley Boulevard in Rosemead according to Los Angeles County coroner's records. Eng appeared to be mentally ill as she held a hammer and allegedly threatened to strike people outside a mental health clinic Wednesday afternoon. [30],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-04,Gonzalez Jaime,15,Brownsville,Texas,Shot at least twice by officers in a middle school after refusing to put down his gun later determined to be a pellet gun. Authorities had been called by the school who reported that a student had a gun and then put the school on lockdown. [31],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-05,Georgeson James,20,Medford,Oregon,Georgeson was shot to death by two U.S. marshals after he allegedly tried to crash into their patrol car. They were trying to arrest him for a federal probation violation. A U.S. Marshals Service spokesperson said there was no indication that Georgeson was armed. [29],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-07,Cervantes Bernie,,Anaheim,California,Police responded to report of a man shooting out lights and fatally shot Cervantes. The weapon was a BB gun. [26],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-07,Ledezma David,52,Riverside,California,Ledezma was shot to death by officers at his home after he threatened to kill himself with a knife and then threw pipes in their direction. Three officers fired 18 shots. Police had been called by a relative after Ledezma had allegedly struck his wife that day. [27],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-07,unnamed male,,Brighton,Colorado,Officers responded to report of a man threatening others with a gun. Suspect fled in vehicle. Officers scattered tire-deflation devices which succeeded in stopping the vehicle. Suspect exited vehicle and walked towards officers which what appeared to be a gun in his hand. After suspect ignored commands to drop the weapon an officer shot him. [28],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
2012-01-09,unnamed male,,Houston,Texas,Officer responded to report of a home burglary. As officer arrived three suspects fled. Officer caught one suspect who struggled with officer and reportedly attempted to take the officer's gun. Officer fatally shot suspect. [24],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_January_2012
